Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:44,Lenovo PB2-690Y,30:b5:c2:e0:55:9c,Alpha125,37,32.16968089,34.81083325,1,0,0,0,,30:b5:c2:e0:55:9c,Alpha125,6,-82,32.16968089,34.81083325,37,01/12/2017 10:44
01/12/2017 10:44,Lenovo PB2-690Y,30:d3:2d:37:20:f4,devolo-0f4,35.03747896,32.17013234,34.81102658,1,2.92999E-10,1.35998E-10,9.62501E-10,,30:d3:2d:37:20:f4,devolo-0f4,6,-80,32.17013234,34.81102658,35.03747896,01/12/2017 10:44
01/12/2017 11:04,SM-G950F,30:e1:71:be:67:57,DIRECT-56-HP OfficeJet 6950,43.21979902,32.17257422,34.81234245,1,3.5813E-09,3.1775E-09,9.45207E-10,,30:e1:71:be:67:57,DIRECT-56-HP OfficeJet 6950,11,-90,32.17257422,34.81234245,43.21979902,01/12/2017 11:04
01/12/2017 11:11,Lenovo PB2-690Y,30:e1:71:fb:1e:f7,DIRECT-F6-HP DeskJet 3830 series,39,32.17231097,34.81407594,1,0,0,0,,30:e1:71:fb:1e:f7,DIRECT-F6-HP DeskJet 3830 series,11,-92,32.17231097,34.81407594,39,01/12/2017 11:11
01/12/2017 10:55,Lenovo PB2-690Y,34:36:3b:c2:be:b8,Home,25,32.16923806,34.81066982,1,0,0,0,,34:36:3b:c2:be:b8,Home,11,-91,32.16923806,34.81066982,25,01/12/2017 10:55
01/12/2017 11:05,SM-G950F,3c:1e:04:07:2a:fe,ronkla2,41.11423605,32.17134388,34.81166865,1,3.8898E-09,3.4985E-09,4.99229E-09,,3c:1e:04:07:2a:fe,ronkla2,6,-80,32.17134388,34.81166865,41.11423605,01/12/2017 11:05
01/12/2017 10:50,SM-G950F,3c:1e:04:07:2a:ff,ronkla2_5,31.09052557,32.17135803,34.81168874,1,4.7836E-09,4.085E-09,2.5769E-09,,3c:1e:04:07:2a:ff,ronkla2_5,48,-85,32.17135803,34.81168874,31.09052557,01/12/2017 10:50
01/12/2017 10:50,Lenovo PB2-690Y,3c:52:82:af:42:75,DIRECT-74-HP DeskJet 4670 series,42,32.17253375,34.81242662,1,0,0,0,,3c:52:82:af:42:75,DIRECT-74-HP DeskJet 4670 series,1,-59,32.17253375,34.81242662,42,01/12/2017 10:50
01/12/2017 10:45,SM-G950F,40:65:a3:2b:62:0e,HOTFiber-400D,28.29109854,32.1688461,34.81178747,1,2.70251E-09,6.38991E-11,2.4455E-09,,40:65:a3:2b:62:0e,HOTFiber-400D,6,-89,32.1688461,34.81178747,28.29109854,01/12/2017 10:45
01/12/2017 10:45,SM-G950F,40:65:a3:2b:62:22,HOTFiber-400D,34.83161255,32.16882797,34.81176748,1,1.8258E-09,1.885E-09,2.28205E-10,,40:65:a3:2b:62:22,HOTFiber-400D,6,-83,32.16882797,34.81176748,34.83161255,01/12/2017 11:05
01/12/2017 10:49,SM-G950F,40:65:a3:35:4c:c4,Efrat,13.65040889,32.17218268,34.81446402,1,2.1653E-09,2.97251E-09,1.0492E-09,,40:65:a3:35:4c:c4,Efrat,1,-75,32.17218268,34.81446402,13.65040889,01/12/2017 10:49
01/12/2017 10:44,SM-G950F,40:9b:cd:11:2f:88,dlink,28.48330591,32.1705249,34.8112437,1,1.4111E-09,2.90299E-10,3.0688E-09,,40:9b:cd:11:2f:88,dlink,44,-92,32.1705249,34.8112437,28.48330591,01/12/2017 10:44
01/12/2017 11:06,Lenovo PB2-690Y,40:b0:34:62:33:a6,DIRECT-A5-HP DeskJet 3700 series,27,32.1695048,34.81211179,1,0,0,0,,40:b0:34:62:33:a6,DIRECT-A5-HP DeskJet 3700 series,6,-87,32.1695048,34.81211179,27,01/12/2017 11:06
